pt_b,eta_b,phi_b,cha_b,fla_b,event
124.28358,-0.013760782,0.12505336,-1,5,1331
57.858444,0.26617065,0.6540843,1,5,1335
117.24045,-0.160137,-0.97416466,-1,5,1342
127.72426,0.24461329,2.6552382,1,5,1344
143.07323,0.18460292,0.035294995,-1,5,1346
11.072142,1.3464701,-0.677952,1,5,1349
112.82911,0.37455332,-1.3696486,1,5,1350
50.119736,-0.26111987,-0.22872725,1,5,1352
85.765945,-1.0031867,-2.2756894,-1,5,1357
60.945004,1.02906,-0.7519809,1,5,1359
22.35391,-1.7776601,3.0034168,1,5,1367
19.893808,-1.1612511,-1.9882283,-1,5,1369
58.547337,-0.18536207,-1.3448436,1,5,1375
48.451813,0.26621884,0.4022895,1,5,1376
55.4726,0.02362835,3.055671,-1,5,1381
49.331783,0.85356283,-1.8143374,1,5,1386
45.699783,0.90623045,-2.2443254,1,5,1395
43.089077,-1.541918,0.6445015,1,5,1400
49.779743,-1.2474014,0.71403253,1,5,1402
10.743878,0.2741475,2.31874,-1,5,1414
53.713684,-0.36112094,1.3547271,1,5,1416
157.616,-0.0872481,1.2014693,-1,5,1418
74.518074,0.9997412,0.41820675,-1,5,1426
68.18726,0.53128684,1.5357394,1,5,1427
1.7278886,0.76807785,2.95334,1,5,1435
34.04858,-0.698149,-2.1189988,1,5,1449
37.70392,-0.14275019,2.0717795,1,5,1451
32.247993,-0.37977517,2.0247374,1,5,1460
49.922028,-0.059422743,-0.08014232,1,5,1470
57.60499,-0.59898216,0.46684676,-1,5,1476
105.039764,-0.7239713,-0.3735679,1,5,1480
81.501915,0.39475796,1.6116718,1,5,1485
18.228523,0.45247862,-2.2149868,-1,5,1491
104.18886,-0.38891405,3.000333,1,5,1500
116.167175,-0.11173412,-1.2255186,-1,5,1503
35.04282,-0.65474284,-1.6721611,1,5,1512
75.99447,0.09002017,0.88241154,-1,5,1513
115.83176,0.003132142,0.32722473,1,5,1514
24.702198,0.43007803,-0.99677414,-1,5,1522
62.680096,-0.82598966,-1.8945788,-1,5,1526
60.989044,0.49571645,-2.2437851,-1,5,1531
26.32585,1.0042021,-2.0040572,-1,5,1532
116.31618,0.47840968,-1.0111887,1,5,1533
11.46068,-2.7602258,-2.428279,-1,5,1535
148.36397,0.025833298,-2.688423,-1,5,1543
84.51309,-0.17149505,1.9466156,-1,5,1546
20.145803,-0.7508424,-1.4035112,1,5,1561
133.33798,0.022407416,-0.1863748,1,5,1567
75.740555,-1.0748082,2.5581372,1,5,1569
32.820614,-1.0747621,-0.8936361,-1,5,1570
111.20509,-0.6682917,-0.5125424,-1,5,1578
6.2002277,-1.0867423,2.9923735,-1,5,1580
24.810759,-0.4564658,-0.8838775,-1,5,1591
115.752045,0.5880718,0.60691303,1,5,1592
111.02938,0.011979987,-2.2129095,-1,5,1594
100.025734,0.024210768,-2.0969038,-1,5,1598
37.787373,0.41851366,-0.40812036,-1,5,1599
58.617973,-0.43706143,-1.8826522,1,5,1606
31.039782,-1.3419281,-2.644634,-1,5,1608
86.772125,-0.14407283,2.911961,1,5,1611
95.86612,-0.8576268,-1.3798923,-1,5,1613
118.86933,-0.5449672,-2.471907,-1,5,1617
37.29402,0.44437188,-0.56895393,-1,5,1627
112.18818,-0.12618524,-1.2686617,-1,5,1629
61.005104,0.028051453,-2.4625888,-1,5,1640
17.902603,0.9106921,0.27928844,-1,5,1642
63.844997,-1.2277683,-0.70510024,1,5,1647
43.522495,-0.9169874,1.9057311,-1,5,1650
18.964403,1.5653983,-1.9575685,-1,5,1655
19.336008,-1.845836,-1.1794341,1,5,1660
1.4243551,0.69366264,0.81565344,1,5,1663
21.287712,-1.251198,-0.867602,-1,5,1665
9.747957,-1.160064,-1.2726651,1,5,1671
9.126829,-2.1482217,1.824947,1,5,1672
44.6635,-0.15573996,2.586235,-1,5,1673
34.478306,1.1187186,-1.1561394,1,5,1675
147.68211,-0.3629778,1.7459115,-1,5,1687
38.947113,0.15204205,-2.8203495,1,5,1690
102.96872,0.06666295,0.9647028,-1,5,1693
43.2792,0.28295627,1.4607273,1,5,1697
117.36516,0.17148435,2.9511704,-1,5,1698
48.405815,-0.15402326,-1.2796242,-1,5,1707
93.42076,0.83149564,0.29305625,-1,5,1723
77.841736,1.1015369,-0.824582,-1,5,1724
127.594635,0.3936851,-0.2663442,-1,5,1725
159.96513,-0.06553215,-1.1337196,1,5,1728
119.508255,0.34500545,-2.1073992,1,5,1738
4.3235435,-2.2610419,0.47548538,-1,5,1742
41.627945,0.4233875,1.1172202,-1,5,1753
67.54268,0.8263256,1.9136243,-1,5,1765
18.270336,-0.5383973,-2.1792662,-1,5,1796
107.91954,0.2702047,1.130918,-1,5,1799
141.0812,-0.29034048,1.2509266,-1,5,1801
65.34656,-0.04221225,2.2078001,1,5,1803
36.474937,-0.31098503,0.0042377794,1,5,1809
111.51546,-0.6202588,1.89552,-1,5,1819
69.44784,-0.4807918,1.2869128,-1,5,1829
80.67875,0.30726504,0.49852604,1,5,1831
26.688963,1.089839,0.49144465,1,5,1840
37.177513,0.94651175,-2.9349248,-1,5,1843
99.92906,0.34485042,0.6048846,1,5,1850
137.4624,-0.26698935,0.90604377,1,5,1853
124.094666,-0.14496244,-0.6036964,1,5,1859
75.134995,-1.1776229,2.0007668,-1,5,1865
63.78251,1.1235423,0.01466184,1,5,1875
52.735695,0.121753976,-2.547466,1,5,1914
68.99305,-0.24302351,-2.2342699,1,5,1916
1.9410906,0.06890946,-1.0040128,1,5,1925
28.911346,-0.83358,0.8702688,1,5,1933
103.11599,-0.24757771,-2.4418955,-1,5,1939
122.95487,-0.041903436,0.65722656,-1,5,1949
38.202847,0.23004179,-0.79926336,-1,5,1956
90.356804,-0.8526695,0.7702015,-1,5,1958
47.05544,-1.4014002,1.3372147,1,5,1975
88.37963,-0.15628481,1.4689897,1,5,1977
42.87819,-1.6057706,2.6436787,-1,5,1986
101.40756,-0.7136542,-3.0111547,1,5,1990
85.00081,1.070327,1.2889063,-1,5,1991
52.23978,-0.596963,-2.2298265,1,5,1999
36.26838,-0.073590375,0.81573826,-1,5,2007
71.27301,0.003775676,2.9974015,-1,5,2010
81.427666,0.7301605,-1.5515406,-1,5,2016
104.49087,-0.8048686,1.4329859,1,5,2023
59.121887,-1.217453,1.473367,1,5,2024
131.97827,0.23414302,-1.4973875,1,5,2028
112.4323,-0.2592503,-1.4239916,-1,5,2029
122.02381,-0.48030686,-0.08274868,-1,5,2033
115.80307,-0.95234245,0.81577355,-1,5,2034
49.579796,0.6898649,1.3274132,-1,5,2041
51.76272,0.14911339,-2.9210865,-1,5,2046
44.595074,-0.28157616,0.7546978,-1,5,2052
23.432917,1.2122917,-2.1718178,1,5,2059
1.3157178,0.39681914,2.2488868,1,5,2060
37.157955,-0.43941635,1.1010749,1,5,2061
1.5524324,0.18601672,1.5625933,-1,5,2069
113.432175,0.34390044,-2.270649,1,5,2072
108.893326,0.24901167,0.8626505,1,5,2074
54.22104,-1.4317757,-1.7927728,1,5,2078
93.60428,-0.09158984,3.009725,-1,5,2079
23.090626,-0.12473598,1.0011429,-1,5,2083
104.755135,-0.727789,0.006316667,-1,5,2088
42.822468,0.24495195,-2.7756572,-1,5,2090
19.525948,1.5143216,1.8960538,1,5,2094
121.29332,0.21818672,2.98952,-1,5,2096
110.76953,-0.5162944,0.09892758,-1,5,2104
59.779827,0.48818895,-3.1062946,1,5,2105
126.302025,-0.17550927,1.663589,1,5,2107
40.44128,0.5955702,-0.6369875,-1,5,2111
37.017513,0.2686548,-2.9535701,1,5,2113
6.3485956,-1.4587438,-2.424483,-1,5,2118
106.70993,-0.61973304,-2.4846168,1,5,2122
19.724874,0.22468665,-0.4209342,1,5,2124
65.631584,0.29407594,-1.4505703,1,5,2126
160.2148,-0.084601924,1.886874,1,5,2130
81.89926,0.13088797,2.912352,1,5,2132
98.07736,0.6690876,1.6674532,-1,5,2140
117.40535,0.26765087,1.4158357,1,5,2144
77.44779,1.1054903,-3.046847,-1,5,2147
37.745796,2.0147195,1.9133681,-1,5,2153
127.30683,0.619088,-2.7235117,1,5,2158
57.37834,0.5947194,-1.9287724,-1,5,2161
31.319958,-0.59381735,1.0647187,1,5,2162
32.0688,-1.1332713,-3.0800476,-1,5,2172
44.88315,0.55373055,2.666467,-1,5,2177
41.255566,0.1542955,-0.9194213,1,5,2179
119.80809,-0.6563339,1.215115,-1,5,2181
108.32205,-0.37937292,-2.7388506,-1,5,2182
58.818157,-0.63456714,-1.4172838,-1,5,2184
21.169733,-0.6622684,-0.51431036,1,5,2185
23.892876,-0.8851182,2.2817419,-1,5,2190
123.23248,-0.23629244,-1.4164116,1,5,2192
106.87577,0.43824333,2.962621,1,5,2193
108.02727,0.7100758,2.2860427,-1,5,2195
76.60671,0.5562094,-2.010578,-1,5,2205
102.04197,0.3682746,-2.7777424,1,5,2206
50.006084,0.55424625,-0.4300938,1,5,2208
58.65737,0.5618562,0.22193891,1,5,2213
171.25264,0.13766855,-1.8976173,1,5,2225
87.67151,-1.0649512,1.2847593,-1,5,2233
51.48839,0.5071789,0.093295924,1,5,2236
99.57292,0.7159302,-0.79293704,-1,5,2241
51.606495,0.37477377,1.3913196,1,5,2246
147.58995,-0.34867588,-2.7834196,1,5,2248
116.18288,-0.7384641,-0.6285634,-1,5,2249
122.01915,-0.0951941,-2.8533092,-1,5,2264
120.97444,-0.24195446,-3.025937,-1,5,2265
85.82659,-0.89989835,2.8148484,1,5,2268
40.60259,-0.60869277,1.2313894,1,5,2282
36.41609,-0.16329159,-2.9177375,1,5,2291
140.9366,-0.03317947,-1.8941075,1,5,2295
156.30116,-0.2857121,-1.2021888,-1,5,2298
119.376884,0.6395656,-1.5740954,1,5,2304
50.00397,-0.47987008,2.7428405,1,5,2310
136.3095,0.15427025,-1.0610306,1,5,2314
47.185173,-0.54433703,0.4076182,1,5,2315
85.54486,0.031498965,0.43352872,-1,5,2318
98.27409,-1.1517351,-3.1311064,-1,5,2329
126.38523,-0.50940156,-2.283289,1,5,2332
88.434494,0.3588891,1.9166222,-1,5,2338
133.0434,0.63171345,-0.31096026,1,5,2371
94.30741,0.9329806,0.100370176,1,5,2375
18.26189,-0.86964685,0.84540623,-1,5,2379
45.084526,-0.6010477,-2.5248084,1,5,2380
30.274343,-1.3781947,1.6753224,-1,5,2387
17.347437,1.7767423,2.4831927,-1,5,2389
68.29415,0.8635178,2.6071,-1,5,2391
128.16833,0.11471873,-2.3970156,-1,5,2395
133.10692,0.36734608,-1.3722577,-1,5,2396
39.157074,0.7605748,-0.5486643,-1,5,2409
137.53413,0.12144591,-2.1299222,-1,5,2411
63.988907,0.56645435,-2.1322808,1,5,2420
44.571247,-0.921303,-0.6644921,-1,5,2423
101.338905,0.21928616,0.45585522,1,5,2425
17.40363,-1.9227943,-0.09731566,-1,5,2429
145.89812,-0.118738964,2.0407236,1,5,2432
91.13699,-0.72901285,1.7993867,-1,5,2445
104.60584,-0.51692045,-1.254805,1,5,2449
132.9279,-0.61389977,1.9288969,1,5,2457
40.30681,-0.5176121,-3.0132585,1,5,2472
133.89822,-0.20186126,-0.11142794,-1,5,2482
81.99011,-0.69677615,-3.1170592,1,5,2492
48.048183,-0.85278684,2.8559422,-1,5,2493
112.97602,-0.54291,-1.7211081,-1,5,2495
103.20597,0.95950764,0.08332029,1,5,2502
55.74641,0.4752742,0.12985912,-1,5,2509
32.506363,-0.84147567,0.93130124,-1,5,2518
31.022224,-0.34600833,-2.269979,-1,5,2520
46.271545,-0.037497986,2.5789847,-1,5,2526
77.61722,-1.1012955,0.4798479,1,5,2529
108.9811,0.27673382,1.555929,-1,5,2541
40.17416,-0.1259543,0.7978129,-1,5,2543
43.11137,0.8819802,0.95159954,-1,5,2546
145.56824,-0.3225877,2.6536698,-1,5,2551
107.9338,-0.5049076,1.9794021,-1,5,2557
98.1577,-0.8225582,0.03620016,-1,5,2568
120.35966,0.21646605,2.2353222,1,5,2569
18.537544,-0.121556744,-2.847814,-1,5,2579
38.473125,-0.28020683,2.9561784,1,5,2581
127.26487,-0.214531,-2.5906634,-1,5,2585
6.615106,-2.5472438,2.1411562,1,5,2589
49.154694,0.9269468,-0.42446646,1,5,2594
5.424759,2.494895,0.42566475,1,5,2610
115.45459,0.2539845,1.0567212,1,5,2620
126.909744,-0.2750622,0.10602515,1,5,2625
125.17216,-0.27100128,2.9250026,1,5,2633
100.71056,0.4189794,2.8175712,1,5,2644
68.37932,-0.73022366,0.30890775,-1,5,2645
146.5856,0.15566473,-2.144176,-1,5,2654
107.90009,-0.8240064,0.893378,1,5,2655
78.17243,1.1649419,1.6938876,-1,5,2656
43.335346,0.99550694,0.046948075,-1,5,2658
17.161028,-1.7264311,2.8203979,1,5,2662
29.244253,1.2905877,-0.284179,-1,5,2664
28.757627,0.85640615,-0.92494583,1,5,2667
131.98854,0.018092688,-0.73289484,-1,5,2670
130.56747,0.3690668,2.1212919,-1,5,2677
126.14539,-0.3291124,-2.6234565,1,5,2678
78.559944,1.0539894,-2.8717408,1,5,2681
18.805943,0.8691391,2.7901933,-1,5,2686
46.155952,0.56462723,-2.3855107,1,5,2690
35.363197,-1.0524706,-1.4858465,1,5,2693
42.009575,-0.32815808,0.44311094,-1,5,2696
3.3780172,0.3520431,0.9914228,1,5,2700
58.008156,1.4481559,-2.4573512,1,5,2712
34.263554,-0.4428428,0.73051846,1,5,2718
40.656345,-0.116671056,-2.2592237,-1,5,2724
116.13649,0.25561994,-0.48040932,-1,5,2730
44.571426,-0.10211183,1.5557287,-1,5,2731
36.739998,0.81525296,-1.5125395,-1,5,2734
14.361507,2.036509,0.42599258,1,5,2740
120.13176,-0.5505458,-2.310565,-1,5,2743
40.231533,-1.8773686,1.8597894,-1,5,2744
159.88094,-0.044968847,-3.0757577,1,5,2747
109.58047,-0.37707084,-1.8893156,-1,5,2749
98.740425,-0.7051162,-2.9280996,-1,5,2752
96.27649,-0.3173873,2.1484163,-1,5,2755
116.35217,0.5072505,1.7926532,-1,5,2771
29.410772,1.3216301,0.9930882,-1,5,2774
60.738457,-0.03822645,-2.4342268,1,5,2780
123.552704,0.45639154,-2.0091946,-1,5,2782
71.82491,1.3020976,1.6468443,-1,5,2786
50.76606,-0.64699847,-0.95194614,1,5,2789
52.523323,0.19541582,0.35067216,1,5,2790
4.22049,-2.6297383,1.5807376,-1,5,2793
110.20246,-0.5754933,-2.2045312,1,5,2794
27.898342,-0.2766007,1.0775386,-1,5,2798
155.97662,0.038562067,-1.5311759,-1,5,2822
54.66643,-0.05164119,-3.022763,1,5,2826
125.09067,0.18103752,2.9205413,1,5,2831
133.2134,0.0062262723,-2.004848,-1,5,2836
87.138725,-0.5712173,2.8919551,1,5,2841
98.86126,-0.091599986,-2.2421353,1,5,2842
55.38444,1.609653,1.4606953,1,5,2843
8.826742,1.5967698,1.2529566,1,5,2847
54.21185,-0.08579168,2.715287,-1,5,2848
98.90533,-0.60809535,2.0570586,-1,5,2849
105.6731,-0.77401567,-0.44901907,-1,5,2854
38.738724,1.8664194,-0.64641744,-1,5,2856
68.13623,-0.08371805,-0.32311547,1,5,2862
