pt_s,eta_s,phi_s,cha_s,fla_s,event
48.13543,-0.20789841,1.0860506,-1,3,1859
43.434464,0.23621559,0.53488505,1,3,1865
68.03373,-0.31665277,1.324639,-1,3,1875
93.85338,-0.71763396,-1.0735283,-1,3,1914
97.66282,-0.56408095,-0.54751056,-1,3,1916
88.99165,0.98049957,-2.6162255,-1,3,1925
136.07826,0.13626312,2.6893659,-1,3,1933
21.07146,1.7179948,-1.5120887,1,3,1939
51.41482,0.21383916,-0.85997605,1,3,1949
142.11076,0.13480079,0.94746333,1,3,1956
51.28973,-0.53868157,2.9784985,1,3,1958
37.9724,-0.11854547,-0.707096,-1,3,1975
54.79173,-1.2912871,-2.9010026,-1,3,1977
71.37682,0.17189594,1.4597574,1,3,1986
60.37553,-0.40183485,1.342071,-1,3,1990
40.237232,-0.056220535,3.0924237,1,3,1991
99.71508,0.6233294,-1.189148,-1,3,1999
104.69953,-0.75290424,-0.88528264,1,3,2007
116.50904,0.06316227,1.4802046,1,3,2010
37.00392,-0.6347913,-2.8031058,1,3,2016
28.712263,0.9442077,0.5891744,-1,3,2023
54.00432,-0.50137305,-2.3781269,-1,3,2024
5.801323,-2.6886039,-1.859214,-1,3,2028
158.01048,0.27421105,1.7361492,1,3,2029
30.055355,1.2686323,-0.7774285,1,3,2033
112.467285,0.9477017,-2.3276765,1,3,2034
35.998566,-0.49528712,2.5435102,1,3,2041
105.83547,-0.89123976,-1.2507195,1,3,2046
140.83913,0.0047664363,-0.94271445,1,3,2052
89.47064,-0.5012595,2.9247382,-1,3,2059
102.991806,0.9048133,-1.8861761,-1,3,2060
118.32226,0.46035,-0.33893332,-1,3,2061
23.216366,2.5510905,-1.0935769,1,3,2069
45.653008,-0.28764576,-0.68617296,-1,3,2072
40.988323,-0.735352,2.4425678,-1,3,2074
70.92503,0.23081718,-0.8417038,-1,3,2078
44.5432,1.1057911,1.6827152,1,3,2079
34.836334,2.0479453,-0.5699802,1,3,2083
